,sub,onset,offset,cat,tier,tp_contingent,voc_contingent,uniqueness
133,50,1171.09,1179.12,whats the matter huh there you go look its not a ball anymore its a bracelet,Transcript,1,0,7
134,50,1180.67,1181.56,wheres the ball,Transcript,1,0,0
135,51,608.801,611.541,nan,Transcript,1,0,1
136,51,765.684,767.041,moooo,Transcript,1,0,1
137,51,912.034,913.626,huuuh wheres the go,Transcript,1,0,4
138,51,1108.585,1111.39,yaay,Transcript,1,0,1
139,51,1122.981,1123.644,ball,Transcript,1,0,1
140,51,1166.024,1166.59,wheres the ball,Transcript,1,0,0
141,51,1193.313,1195.025,yaaay,Transcript,1,0,1
142,53,898.951,903.006,abby can you knock them down knock them down,Transcript,1,0,6
143,53,905.187,909.715,good girl yeah knock them down again,Transcript,1,0,4
144,53,916.151,918.012,no look at this one,Transcript,1,0,5
145,53,920.633,928.842,these are fun heres a giraffe some stars and a butterfly,Transcript,1,0,10
146,53,936.311,941.263,this one has a bell in it this one has a hippo with a bird,Transcript,1,0,7
147,53,943.593,944.787,ooo a different bell,Transcript,1,0,2
148,56,964.012,967.017,hey come here switch,Transcript,1,0,4
149,56,1057.838,1058.612,mommy help,Transcript,1,0,2
150,84,607.957,609.062,winnie the pooh,Transcript,1,0,3
151,84,638.741,642.368,okay its okay shh its okay,Transcript,1,0,3
152,84,684.418,686.158,uh oh there goes the ball go get it,Transcript,1,0,8
153,84,702.288,703.038,what dya find,Transcript,1,0,3
154,84,742.668,744.738,look elmo look elmo,Transcript,1,0,2
155,84,961.755,961.933,here,Transcript,1,0,1
156,84,1152.775,1154.893,thats the next one want that one,Transcript,1,0,5
157,84,1183.416,1184.128,thats the big one,Transcript,1,0,1
